name,Type,Crew,Min Speed,Max Speed,Wingspan,Height,Length,Max Payload,Empty Weight,Max Weight,Operator,Commissioned,Propulsion,picture,Nation,Category
3MN-1 Bison B [Bomber], Bomber,8, 250 kt, 490 kt, 53.1 m, 11.5 m, 51.7 m, 24000 kg, 74430 kg, 192000 kg, Long Range Aviation [DA],1960, 4x VD-7B,https://cmano-db.com/images/DB3000/aircraft_2990.jpg,Soviet,aircraft
3MS-1 Bison B [Bomber], Bomber,8, 250 kt, 490 kt, 53.1 m, 11.5 m, 51.7 m, 24000 kg, 74430 kg, 192000 kg, Long Range Aviation [DA],1960, 4x VD-7B,https://cmano-db.com/images/DB3000/aircraft_2381.jpg,Soviet,aircraft
3MS-2 Bison B [Tanker], Tanker (Air Refueling),8, 250 kt, 490 kt, 53.1 m, 11.5 m, 51.7 m, 24000 kg, 74430 kg, 192000 kg, Long Range Aviation [DA],1976, 4x VD-7B,https://cmano-db.com/images/DB3000/aircraft_2380.jpg,Soviet,aircraft
A-50 Mainstay A, Airborne Early Warning (AEW),15, 250 kt, 470 kt, 50.5 m, 14.8 m, 46.6 m, 50000 kg, 88000 kg, 195000 kg, Air Defence Troops [PVO],1986, 4x D-30KP,https://cmano-db.com/images/DB3000/aircraft_256.jpg,Soviet,aircraft
A-90 Orlyonok, Transport,6, 180 kt, 240 kt, 31.5 m, 16.3 m, 58.1 m, 28000 kg, 0 kg, 140000 kg, Naval Aviation [AV-MF],1979," 2x NK-8-4K, 1x NK-12M",https://cmano-db.com/images/DB3000/aircraft_2394.jpg,Soviet,aircraft
"AS-2 Kipper [K-10SP, OECM Drone]", Target Drone,0, 750 kt, 1100 kt, 4.88 m, 0.9 m, 9.45 m, 0 kg, 4200 kg, 4200 kg, Naval Fleet [V-MF],1981, RD-9FK Rocket Sustainer,https://cmano-db.com/images/DB3000/aircraft_3189.jpg,Soviet,aircraft
An-124 Condor, Transport,7, 250 kt, 460 kt, 73.3 m, 20.8 m, 69.1 m, 120000 kg, 177000 kg, 405000 kg, Military Transport Aviation (VTA),1987, 4x D-18T,https://cmano-db.com/images/DB3000/aircraft_891.jpg,Soviet,aircraft
An-12BK Cub A, Transport,6, 210 kt, 410 kt, 38.0 m, 10.5 m, 33.1 m, 20000 kg, 28000 kg, 61000 kg, Frontal Aviation [VVS],1967, 4x AI-20M [WJ-6],https://cmano-db.com/images/DB3000/aircraft_1639.jpg,Soviet,aircraft
An-12BK-IS Cub D, Electronic Warfare,6, 210 kt, 410 kt, 38.0 m, 10.5 m, 33.1 m, 20000 kg, 28000 kg, 61000 kg, Frontal Aviation [VVS],1973, 4x AI-20M [WJ-6],https://cmano-db.com/images/DB3000/aircraft_2010.jpg,Soviet,aircraft
An-12BK-PP Cub C, Electronic Warfare,6, 210 kt, 410 kt, 38.0 m, 10.5 m, 33.1 m, 20000 kg, 28000 kg, 61000 kg, Frontal Aviation [VVS],1971, 4x AI-20M [WJ-6],https://cmano-db.com/images/DB3000/aircraft_1640.jpg,Soviet,aircraft
